disciplineId,disciplineName,topicId,topicName,subtopicId,subtopicName,materialCount,sectionCount,highConfidenceSectionCount,reviewableSectionCount,theorySections,summarySections,mindMapSections,commentedQuestionSections,questionListSections,simulationSections,referenceSections,coverageStatus
dp26-p3-portugues,Língua Portuguesa,dp26-p3-por-interpretacao,Compreensão e interpretação de textos,dp26-p3-por-interpretacao-generos,Compreensão e interpretação de textos de gêneros variados,1,2,2,0,0,0,0,1,1,0,0,MATERIAL_LOCATED
dp26-p3-portugues,Língua Portuguesa,dp26-p3-por-tipos-generos,Tipos e gêneros textuais,dp26-p3-por-tipos-generos-reconhecimento,Reconhecimento de tipos e gêneros textuais,1,2,2,0,0,0,0,1,1,0,0,MATERIAL_LOCATED
dp26-p3-portugues,Língua Portuguesa,dp26-p3-por-ortografia,Ortografia oficial,dp26-p3-por-ortografia-dominio,Domínio da ortografia oficial,2,3,3,0,1,0,0,1,1,0,0,MATERIAL_LOCATED
dp26-p3-portugues,Língua Portuguesa,dp26-p3-por-coesao,Mecanismos de coesão textual,dp26-p3-por-coesao-referenciacao,"Referenciação, substituição, repetição, conectores e sequenciação textual",1,2,0,2,0,0,0,1,1,0,0,MATERIAL_LOCATED
dp26-p3-portugues,Língua Portuguesa,dp26-p3-por-coesao,Mecanismos de coesão textual,dp26-p3-por-coesao-tempos-modos,Emprego de tempos e modos verbais,1,2,0,2,0,0,0,1,1,0,0,MATERIAL_LOCATED
dp26-p3-portugues,Língua Portuguesa,dp26-p3-por-morfossintaxe,Estrutura morfossintática do período,dp26-p3-por-classes-palavras,Emprego das classes de palavras,1,2,2,0,0,0,0,1,1,0,0,MATERIAL_LOCATED
dp26-p3-portugues,Língua Portuguesa,dp26-p3-por-morfossintaxe,Estrutura morfossintática do período,dp26-p3-por-coordenacao,Relações de coordenação entre orações e termos,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-portugues,Língua Portuguesa,dp26-p3-por-morfossintaxe,Estrutura morfossintática do período,dp26-p3-por-subordinacao,Relações de subordinação entre orações e termos,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-portugues,Língua Portuguesa,dp26-p3-por-morfossintaxe,Estrutura morfossintática do período,dp26-p3-por-pontuacao,Emprego dos sinais de pontuação,1,1,1,0,1,0,0,0,0,0,0,MATERIAL_LOCATED
dp26-p3-portugues,Língua Portuguesa,dp26-p3-por-morfossintaxe,Estrutura morfossintática do período,dp26-p3-por-concordancia,Concordância verbal e nominal,1,1,1,0,1,0,0,0,0,0,0,MATERIAL_LOCATED
dp26-p3-portugues,Língua Portuguesa,dp26-p3-por-morfossintaxe,Estrutura morfossintática do período,dp26-p3-por-regencia,Regência verbal e nominal,1,1,1,0,1,0,0,0,0,0,0,MATERIAL_LOCATED
dp26-p3-portugues,Língua Portuguesa,dp26-p3-por-morfossintaxe,Estrutura morfossintática do período,dp26-p3-por-crase,Emprego do sinal indicativo de crase,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-portugues,Língua Portuguesa,dp26-p3-por-morfossintaxe,Estrutura morfossintática do período,dp26-p3-por-colocacao-pronominal,Colocação dos pronomes átonos,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-portugues,Língua Portuguesa,dp26-p3-por-reescrita,Reescrita de frases e parágrafos,dp26-p3-por-significacao,Significação das palavras,1,2,2,0,0,0,0,1,1,0,0,MATERIAL_LOCATED
dp26-p3-portugues,Língua Portuguesa,dp26-p3-por-reescrita,Reescrita de frases e parágrafos,dp26-p3-por-substituicao,Substituição de palavras ou trechos,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-portugues,Língua Portuguesa,dp26-p3-por-reescrita,Reescrita de frases e parágrafos,dp26-p3-por-reorganizacao,Reorganização de orações e períodos,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-portugues,Língua Portuguesa,dp26-p3-por-reescrita,Reescrita de frases e parágrafos,dp26-p3-por-reescrita-generos,Reescrita de textos de diferentes gêneros e níveis de formalidade,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-ingles,Língua Inglesa,dp26-p3-ing-compreensao,Compreensão de textos em língua inglesa,dp26-p3-ing-textos,Compreensão de textos em língua inglesa,1,1,1,0,1,0,0,0,0,0,0,MATERIAL_LOCATED
dp26-p3-ingles,Língua Inglesa,dp26-p3-ing-compreensao,Compreensão de textos em língua inglesa,dp26-p3-ing-gramatica-contextual,Itens gramaticais relevantes para o entendimento dos sentidos dos textos,5,5,5,0,5,0,0,0,0,0,0,MATERIAL_LOCATED
dp26-p3-raciocinio-logico,Raciocínio Lógico Matemático,dp26-p3-rlm-estruturas,Estruturas lógicas,dp26-p3-rlm-estruturas-basicas,Estruturas lógicas,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-raciocinio-logico,Raciocínio Lógico Matemático,dp26-p3-rlm-argumentacao,Lógica de argumentação,dp26-p3-rlm-argumentacao-processos,"Analogias, inferências, deduções e conclusões",0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-raciocinio-logico,Raciocínio Lógico Matemático,dp26-p3-rlm-sentencial,Lógica sentencial ou proposicional,dp26-p3-rlm-proposicoes,Proposições simples e compostas,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-raciocinio-logico,Raciocínio Lógico Matemático,dp26-p3-rlm-sentencial,Lógica sentencial ou proposicional,dp26-p3-rlm-tabelas-verdade,Tabelas-verdade,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-raciocinio-logico,Raciocínio Lógico Matemático,dp26-p3-rlm-sentencial,Lógica sentencial ou proposicional,dp26-p3-rlm-equivalencias,Equivalências,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-raciocinio-logico,Raciocínio Lógico Matemático,dp26-p3-rlm-sentencial,Lógica sentencial ou proposicional,dp26-p3-rlm-diagramas,Diagramas lógicos,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-raciocinio-logico,Raciocínio Lógico Matemático,dp26-p3-rlm-primeira-ordem,Lógica de primeira ordem,dp26-p3-rlm-primeira-ordem-fundamentos,Lógica de primeira ordem,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-raciocinio-logico,Raciocínio Lógico Matemático,dp26-p3-rlm-problemas,Problemas de raciocínio lógico,dp26-p3-rlm-problemas-aritmeticos-geometricos,"Problemas aritméticos, geométricos e matriciais",0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-atualidades-ia,Atualidades e Inteligência Artificial,dp26-p3-atualidades,Atualidades,dp26-p3-atualidades-areas,"Segurança, transportes, política, economia, sociedade, educação, saúde, cultura, tecnologia, energia, relações internacionais, desenvolvimento sustentável e ecologia",8,42,0,42,12,6,0,9,9,5,1,MATERIAL_LOCATED
dp26-p3-atualidades-ia,Atualidades e Inteligência Artificial,dp26-p3-ia-fundamentos,Inteligência Artificial: fundamentos e aplicações,dp26-p3-ia-conceitos,Conceitos de inteligência artificial,1,4,0,4,1,1,0,1,1,0,0,MATERIAL_LOCATED
dp26-p3-atualidades-ia,Atualidades e Inteligência Artificial,dp26-p3-ia-fundamentos,Inteligência Artificial: fundamentos e aplicações,dp26-p3-ia-machine-learning,Aprendizado de máquina,1,3,3,0,1,0,0,1,1,0,0,MATERIAL_LOCATED
dp26-p3-atualidades-ia,Atualidades e Inteligência Artificial,dp26-p3-ia-fundamentos,Inteligência Artificial: fundamentos e aplicações,dp26-p3-ia-generativa-llm,Modelos generativos e modelos de linguagem,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-atualidades-ia,Atualidades e Inteligência Artificial,dp26-p3-ia-fundamentos,Inteligência Artificial: fundamentos e aplicações,dp26-p3-ia-etica-governanca,"Ética, governança e privacidade em IA",0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-legislacao-si-dados,Legislação de Segurança da Informação e Proteção de Dados,dp26-p3-leg-lai,Lei de Acesso à Informação,dp26-p3-leg-lai-capitulos,"Lei nº 12.527/2011, capítulos I a V; Decretos nº 7.724 e nº 7.845",0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-legislacao-si-dados,Legislação de Segurança da Informação e Proteção de Dados,dp26-p3-leg-delitos-informaticos,Lei de Delitos Informáticos,dp26-p3-leg-delitos-art2,"Lei nº 12.737/2012, art. 2º",1,1,1,0,1,0,0,0,0,0,0,MATERIAL_LOCATED
dp26-p3-legislacao-si-dados,Legislação de Segurança da Informação e Proteção de Dados,dp26-p3-leg-marco-civil,Marco Civil da Internet,dp26-p3-leg-marco-civil-capitulos,"Lei nº 12.965/2014, capítulos II, Seção I, e III, Seções I e II",1,3,3,0,1,0,0,1,1,0,0,MATERIAL_LOCATED
dp26-p3-legislacao-si-dados,Legislação de Segurança da Informação e Proteção de Dados,dp26-p3-leg-lgpd,Lei Geral de Proteção de Dados Pessoais,dp26-p3-leg-lgpd-capitulos,"Lei nº 13.709/2018, capítulos I, II, III, IV, VII, VIII e IX",0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-desenvolvimento-sistemas,Desenvolvimento de Sistemas,dp26-p3-esp-linguagens-frameworks,"Java 6+, JavaEE 6+, JakartaEE, JPA 2+, JavaScript, JUnit, Hibernate, JSF, PrimeFaces, Spring, Spring Cloud e Spring Boot",6,32,32,0,12,0,0,10,10,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-desenvolvimento-sistemas,Desenvolvimento de Sistemas,dp26-p3-esp-mobile-lowcode,Desenvolvimento móvel Android e iOS; ferramentas low-code e no-code,5,22,22,0,8,0,0,7,7,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-desenvolvimento-sistemas,Desenvolvimento de Sistemas,dp26-p3-esp-clean-code-sonarqube,"Análise estática de código, clean code e SonarQube",1,9,9,0,3,0,0,3,3,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-desenvolvimento-sistemas,Desenvolvimento de Sistemas,dp26-p3-esp-arquitetura-software,"Arquitetura de software, interoperabilidade, SOA, web services, mensageria, APIs e Swagger",6,33,33,0,10,3,0,10,10,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-desenvolvimento-sistemas,Desenvolvimento de Sistemas,dp26-p3-esp-orientacao-objetos-web,"Orientação a objetos, aplicações web, servidor de aplicações e servidor web",1,3,3,0,1,0,0,1,1,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-desenvolvimento-sistemas,Desenvolvimento de Sistemas,dp26-p3-esp-ambientes-web,"Internet, extranet, intranet e portal",1,5,5,0,1,1,1,1,1,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-desenvolvimento-sistemas,Desenvolvimento de Sistemas,dp26-p3-esp-padroes-dados-web,"XML, XSLT, UDDI, REST e JSON",2,9,9,0,3,0,0,3,3,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-desenvolvimento-sistemas,Desenvolvimento de Sistemas,dp26-p3-esp-devops-git,DevOps e gestão de configuração com Git,2,9,9,0,3,0,0,3,3,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-desenvolvimento-sistemas,Desenvolvimento de Sistemas,dp26-p3-esp-testes,"Testes unitários, integração, ágeis, usabilidade, automatizados, tipos de testes, TDD e ciclo de vida de testes",2,7,7,0,2,1,0,2,2,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-desenvolvimento-sistemas,Desenvolvimento de Sistemas,dp26-p3-esp-rpa,RPA — robotic process automation,1,4,4,0,1,1,0,1,1,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-desenvolvimento-sistemas,Desenvolvimento de Sistemas,dp26-p3-esp-metodologias-ageis,"Scrum, Kanban e XP",4,20,20,0,4,4,0,6,6,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-desenvolvimento-sistemas,Desenvolvimento de Sistemas,dp26-p3-esp-padroes-reuso,Padrões de desenvolvimento e reuso,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-desenvolvimento-sistemas,Desenvolvimento de Sistemas,dp26-p3-esp-codificacao,"Codificação de software transacional, analítico, mobile e API",1,3,0,3,1,0,0,1,1,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-desenvolvimento-sistemas,Desenvolvimento de Sistemas,dp26-p3-esp-metricas,Pontos de Função e Story Points,1,4,4,0,1,1,0,1,1,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-desenvolvimento-sistemas,Desenvolvimento de Sistemas,dp26-p3-esp-requisitos,"Classificação, processo e elicitação de requisitos",2,5,5,0,2,1,0,1,1,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-desenvolvimento-sistemas,Desenvolvimento de Sistemas,dp26-p3-esp-frontend,"HTML, CSS, UX, Ajax, VueJS, Angular, React, padrões frontend, SPA e PWA",3,31,31,0,10,1,0,10,10,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-desenvolvimento-sistemas,Desenvolvimento de Sistemas,dp26-p3-esp-https-tls,Protocolos HTTPS e SSL/TLS,1,16,0,16,2,0,0,7,7,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-desenvolvimento-sistemas,Desenvolvimento de Sistemas,dp26-p3-esp-blockchain,Blockchain,1,3,3,0,1,0,0,1,1,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-desenvolvimento-sistemas,Desenvolvimento de Sistemas,dp26-p3-esp-design-arquitetura,"Design de software, arquitetura hexagonal, microsserviços, API gateway, containers e transações distribuídas",3,20,20,0,8,0,0,6,6,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-desenvolvimento-sistemas,Desenvolvimento de Sistemas,dp26-p3-esp-ux-cms,"UX, CMS, arquitetura da informação, portais, workflow, acessibilidade, usabilidade e interação web",4,38,38,0,21,3,0,7,7,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-desenvolvimento-sistemas,Desenvolvimento de Sistemas,dp26-p3-esp-ia-dados-bigdata,"Inteligência Artificial, Análise de Dados e Big Data",1,9,4,5,2,2,1,2,2,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-bi,Inteligência de Negócios — Business Intelligence,dp26-p3-esp-bi-conceitos,"Conceitos, fundamentos, características, técnicas e métodos de BI",0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-bi,Inteligência de Negócios — Business Intelligence,dp26-p3-esp-bi-suporte-decisao,Sistemas de suporte a decisão e gestão de conteúdo,1,4,4,0,1,1,0,1,1,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-bi,Inteligência de Negócios — Business Intelligence,dp26-p3-esp-bi-dw-etl-olap,Data warehouse com ETL e OLAP,2,5,5,0,3,0,0,1,1,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-bi,Inteligência de Negócios — Business Intelligence,dp26-p3-esp-bi-dw-mining,Data warehouse e data mining,2,4,4,0,4,0,0,0,0,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-bi,Inteligência de Negócios — Business Intelligence,dp26-p3-esp-bi-visualizacao,"Visualização de dados, bancos individuais e cubos",0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-bi,Inteligência de Negócios — Business Intelligence,dp26-p3-esp-bi-fontes,Mapeamento de fontes e técnicas de coleta de dados,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-bi,Inteligência de Negócios — Business Intelligence,dp26-p3-esp-bi-arquitetura,Arquitetura de business intelligence,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-seguranca,Segurança da Informação,dp26-p3-esp-si-politicas,Políticas e procedimentos de segurança da informação,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-seguranca,Segurança da Informação,dp26-p3-esp-si-iso,ABNT NBR ISO/IEC 27001:2022 e 27002:2022,1,9,9,0,1,0,0,4,4,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-seguranca,Segurança da Informação,dp26-p3-esp-si-cid,"Confiabilidade, integridade e disponibilidade",0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-seguranca,Segurança da Informação,dp26-p3-esp-si-acesso,"Mecanismos de segurança, controle de acesso, OAuth2 e SSO",1,14,14,0,2,0,0,6,6,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-seguranca,Segurança da Informação,dp26-p3-esp-si-riscos,"Gerência de riscos: ameaça, vulnerabilidade e impacto",1,3,3,0,1,0,0,1,1,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-seguranca,Segurança da Informação,dp26-p3-esp-si-sdl-owasp,SDL e OWASP Top 10,1,12,12,0,2,0,0,6,4,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-seguranca,Segurança da Informação,dp26-p3-esp-si-sast-dast,SAST e DAST,1,1,1,0,1,0,0,0,0,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-banco-dados,Banco de Dados,dp26-p3-esp-bd-modelagem,"Modelagem conceitual, lógica e física",2,8,8,0,3,0,0,2,1,0,2,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-banco-dados,Banco de Dados,dp26-p3-esp-bd-relacional-multidimensional,Abordagem relacional e multidimensional,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-banco-dados,Banco de Dados,dp26-p3-esp-bd-normalizacao,Normalização,1,4,4,0,1,1,0,1,1,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-banco-dados,Banco de Dados,dp26-p3-esp-bd-integridade,Integridade referencial,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-banco-dados,Banco de Dados,dp26-p3-esp-bd-metadados,Metadados,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-banco-dados,Banco de Dados,dp26-p3-esp-bd-dimensional,Modelagem dimensional,1,3,3,0,1,0,0,1,1,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-banco-dados,Banco de Dados,dp26-p3-esp-bd-sql,SQL,2,9,9,0,3,0,0,3,3,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-banco-dados,Banco de Dados,dp26-p3-esp-bd-ddl,DDL,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-banco-dados,Banco de Dados,dp26-p3-esp-bd-dml,DML,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-banco-dados,Banco de Dados,dp26-p3-esp-bd-sgbd,SGBD,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-banco-dados,Banco de Dados,dp26-p3-esp-bd-propriedades,Propriedades de banco de dados,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-banco-dados,Banco de Dados,dp26-p3-esp-bd-nosql,Banco de dados NoSQL,1,4,4,0,2,0,0,1,1,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-banco-dados,Banco de Dados,dp26-p3-esp-bd-memoria,Banco de dados em memória,1,3,3,0,1,0,0,1,1,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-banco-dados,Banco de Dados,dp26-p3-esp-bd-datalake-bigdata,Data lakes e soluções para big data,1,3,3,0,1,0,0,1,1,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-banco-dados,Banco de Dados,dp26-p3-esp-bd-estruturados,Dados estruturados e não estruturados,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-banco-dados,Banco de Dados,dp26-p3-esp-bd-avaliacao-modelos,Avaliação de modelos de dados,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-banco-dados,Banco de Dados,dp26-p3-esp-bd-integracao-ingestao,"ETL/ELT, transferência de arquivos e integração via base de dados",0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-gestao-governanca,Gestão e Governança de Tecnologia da Informação,dp26-p3-esp-gov-projetos,"Gerenciamento de projetos, programas, portfólio e abordagens tradicional, híbrida e ágil",1,19,19,0,1,1,1,8,8,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-gestao-governanca,Gestão e Governança de Tecnologia da Informação,dp26-p3-esp-gov-processos,"Processos, grupos de processos e áreas de conhecimento",1,5,5,0,1,1,1,1,1,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-gestao-governanca,Gestão e Governança de Tecnologia da Informação,dp26-p3-esp-gov-riscos,Gestão de riscos,0,0,0,0,0,0,0,0,0,0,0,NO_MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-gestao-governanca,Gestão e Governança de Tecnologia da Informação,dp26-p3-esp-gov-itil,ITIL v4,1,5,5,0,1,1,1,1,1,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-gestao-governanca,Gestão e Governança de Tecnologia da Informação,dp26-p3-esp-gov-cobit,COBIT 2019,1,5,5,0,1,1,1,1,1,0,0,MATERIAL_LOCATED
dp26-p3-conhecimentos-especificos,Conhecimentos Específicos,dp26-p3-esp-gestao-governanca,Gestão e Governança de Tecnologia da Informação,dp26-p3-esp-gov-bpmn,Gestão de processos e BPMN,1,5,5,0,1,1,1,1,1,0,0,MATERIAL_LOCATED
