ordinal,id_plataforma,classe_aderencia,paginas_usadas,resultado,modo_alternativas,enunciado_recuperado_caracteres,alternativas_textuais,alternativas_visuais,arquivo_questao,apta_estudo_antes,apta_estudo_depois,potencial_simulado_antes,potencial_simulado_depois,gabarito_origem,motivo_remanescente
2,4000870759,ADERENTE_PARCIAL,1,RECUPERADA_INTEGRALMENTE,imagens_renderizadas,92,0,5,assets/questoes/Q0002.png,não,sim,não,sim,plataforma secundária,
25,4001335492,ADERENTE_DIRETA,10,RECUPERADA_INTEGRALMENTE,texto,68,5,0,assets/questoes/Q0025.png,não,sim,não,sim,plataforma secundária,
29,4001379310,ADERENTE_PARCIAL,11,RECUPERADA_INTEGRALMENTE,texto,166,5,0,assets/questoes/Q0029.png,não,sim,não,sim,plataforma secundária,
33,4001379436,ADERENTE_DIRETA,"12,13",RECUPERADA_INTEGRALMENTE,texto,694,5,0,assets/questoes/Q0033.png,não,sim,não,sim,plataforma secundária,
49,4001427982,ADERENTE_DIRETA,18,RECUPERADA_INTEGRALMENTE,texto,438,5,0,assets/questoes/Q0049.png,não,sim,não,sim,plataforma secundária,
58,4001574599,ADERENTE_DIRETA,22,RECUPERADA_INTEGRALMENTE,texto,156,5,0,assets/questoes/Q0058.png,não,sim,não,sim,plataforma secundária,
61,4001574632,ADERENTE_DIRETA,23,RECUPERADA_INTEGRALMENTE,texto,252,5,0,assets/questoes/Q0061.png,não,sim,não,sim,plataforma secundária,
70,4001580959,ADERENTE_DIRETA,27,RECUPERADA_INTEGRALMENTE,imagens_renderizadas,893,0,5,assets/questoes/Q0070.png,não,sim,não,sim,plataforma secundária,
86,4001628349,ADERENTE_DIRETA,34,RECUPERADA_INTEGRALMENTE,texto,493,5,0,assets/questoes/Q0086.png,não,sim,não,sim,plataforma secundária,
90,4001628520,ADERENTE_PARCIAL,35,RECUPERADA_INTEGRALMENTE,texto,358,5,0,assets/questoes/Q0090.png,não,sim,não,sim,plataforma secundária,
95,4001629088,ADERENTE_DIRETA,37,RECUPERADA_INTEGRALMENTE,texto,498,5,0,assets/questoes/Q0095.png,não,sim,não,sim,plataforma secundária,
126,4001787993,ADERENTE_DIRETA,49,RECUPERADA_INTEGRALMENTE,texto,352,5,0,assets/questoes/Q0126.png,não,sim,não,sim,plataforma secundária,
133,4001857630,ADERENTE_DIRETA,52,RECUPERADA_INTEGRALMENTE,texto,626,5,0,assets/questoes/Q0133.png,não,sim,não,sim,plataforma secundária,
134,4001857633,ADERENTE_DIRETA,52,RECUPERADA_INTEGRALMENTE,texto,907,5,0,assets/questoes/Q0134.png,não,sim,não,sim,plataforma secundária,
167,4001624683,ADERENTE_PARCIAL,63,RECUPERADA_INTEGRALMENTE,texto,1473,5,0,assets/questoes/Q0167.png,não,sim,não,sim,plataforma secundária,
168,4002009589,ADERENTE_PARCIAL,"63,64",RECUPERADA_INTEGRALMENTE,texto,520,5,0,assets/questoes/Q0168.png,não,sim,não,sim,plataforma secundária,
174,4002424762,ADERENTE_DIRETA,65,RECUPERADA_INTEGRALMENTE,texto,679,5,0,assets/questoes/Q0174.png,não,sim,não,sim,plataforma secundária,
185,4001784157,ADERENTE_DIRETA,69,RECUPERADA_INTEGRALMENTE,imagens_renderizadas,534,0,5,assets/questoes/Q0185.png,não,sim,não,sim,plataforma secundária,
198,4001516227,ADERENTE_DIRETA,"73,74",IRRECUPERAVEL_NO_ACERVO,quatro_imagens_sem_alternativa_E,1303,0,4,assets/questoes/Q0198.png,não,não,não,não,plataforma secundária,quinta alternativa não presente nas páginas encartadas | integridade textual incompleta para os critérios desta etapa
212,4002467214,ADERENTE_DIRETA,78,RECUPERADA_INTEGRALMENTE,texto,616,5,0,assets/questoes/Q0212.png,não,sim,não,sim,plataforma secundária,
215,4001424643,ADERENTE_DIRETA,79,RECUPERADA_INTEGRALMENTE,texto,589,5,0,assets/questoes/Q0215.png,não,sim,não,sim,plataforma secundária,
220,4002379581,ADERENTE_DIRETA,"80,81",RECUPERADA_INTEGRALMENTE,texto,746,5,0,assets/questoes/Q0220.png,não,sim,não,sim,plataforma secundária,
225,4002111743,ADERENTE_DIRETA,"82,83",RECUPERADA_INTEGRALMENTE,imagens_renderizadas,644,0,5,assets/questoes/Q0225.png,não,sim,não,sim,plataforma secundária,
226,4002111744,ADERENTE_DIRETA,83,RECUPERADA_INTEGRALMENTE,texto,513,5,0,assets/questoes/Q0226.png,não,sim,não,sim,plataforma secundária,
236,4001628799,ADERENTE_DIRETA,86,IRRECUPERAVEL_NO_ACERVO,quatro_imagens_sem_alternativa_E,630,0,4,assets/questoes/Q0236.png,não,não,não,não,plataforma secundária,quinta alternativa não presente nas páginas encartadas | integridade textual incompleta para os critérios desta etapa
244,4002020414,ADERENTE_DIRETA,90,RECUPERADA_INTEGRALMENTE,texto,435,5,0,assets/questoes/Q0244.png,não,sim,não,sim,plataforma secundária,
245,4001032204,ADERENTE_DIRETA,"90,91",RECUPERADA_INTEGRALMENTE,imagens_renderizadas,523,0,5,assets/questoes/Q0245.png,não,sim,não,sim,plataforma secundária,
250,4001068088,ADERENTE_DIRETA,93,RECUPERADA_INTEGRALMENTE,imagens_renderizadas,858,0,5,assets/questoes/Q0250.png,não,sim,não,sim,plataforma secundária,
259,4001073090,ADERENTE_DIRETA,"97,98",RECUPERADA_INTEGRALMENTE,imagens_renderizadas,427,0,5,assets/questoes/Q0259.png,não,sim,não,sim,plataforma secundária,
267,4001222066,ADERENTE_DIRETA,"101,102",RECUPERADA_INTEGRALMENTE,imagens_renderizadas,680,0,5,assets/questoes/Q0267.png,não,sim,não,sim,plataforma secundária,
269,4001245739,ADERENTE_DIRETA,103,RECUPERADA_INTEGRALMENTE,imagens_renderizadas,680,0,5,assets/questoes/Q0269.png,não,sim,não,sim,plataforma secundária,
271,4001245774,ADERENTE_DIRETA,"103,104",RECUPERADA_INTEGRALMENTE,imagens_renderizadas,382,0,5,assets/questoes/Q0271.png,não,sim,não,sim,plataforma secundária,
278,4001336420,ADERENTE_DIRETA,"106,107",RECUPERADA_INTEGRALMENTE,imagens_renderizadas,676,0,5,assets/questoes/Q0278.png,não,sim,não,sim,plataforma secundária,
293,4001427988,ADERENTE_DIRETA,"112,113",RECUPERADA_INTEGRALMENTE,imagens_renderizadas,297,0,5,assets/questoes/Q0293.png,não,sim,não,sim,plataforma secundária,
318,4001730199,ADERENTE_DIRETA,124,RECUPERADA_INTEGRALMENTE,texto,442,5,0,assets/questoes/Q0318.png,não,sim,não,sim,plataforma secundária,
322,4001849465,ADERENTE_DIRETA,"125,126",RECUPERADA_INTEGRALMENTE,texto,413,5,0,assets/questoes/Q0322.png,não,sim,não,sim,plataforma secundária,
332,4001851015,ADERENTE_DIRETA,131,RECUPERADA_INTEGRALMENTE,texto,375,5,0,assets/questoes/Q0332.png,não,sim,não,sim,plataforma secundária,
344,4001888292,ADERENTE_DIRETA,"137,138",RECUPERADA_INTEGRALMENTE,imagens_renderizadas,909,0,5,assets/questoes/Q0344.png,não,sim,não,sim,plataforma secundária,
348,4000991097,ADERENTE_DIRETA,"141,142",RECUPERADA_INTEGRALMENTE,imagens_renderizadas,985,0,5,assets/questoes/Q0348.png,não,sim,não,sim,plataforma secundária,
351,4000998971,ADERENTE_DIRETA,144,RECUPERADA_INTEGRALMENTE,imagens_renderizadas,582,0,5,assets/questoes/Q0351.png,não,sim,não,sim,plataforma secundária,
361,4000999004,ADERENTE_DIRETA,"150,151",RECUPERADA_INTEGRALMENTE,imagens_renderizadas,800,0,5,assets/questoes/Q0361.png,não,sim,não,sim,plataforma secundária,
389,4001380980,ADERENTE_DIRETA,"162,163",RECUPERADA_INTEGRALMENTE,texto,765,5,0,assets/questoes/Q0389.png,não,sim,não,sim,plataforma secundária,
394,4001516187,ADERENTE_DIRETA,"164,165",IRRECUPERAVEL_NO_ACERVO,quatro_imagens_sem_alternativa_E,362,0,4,assets/questoes/Q0394.png,não,não,não,não,plataforma secundária,quinta alternativa não presente nas páginas encartadas | integridade textual incompleta para os critérios desta etapa
405,4001593347,ADERENTE_DIRETA,170,RECUPERADA_INTEGRALMENTE,imagens_renderizadas,348,0,5,assets/questoes/Q0405.png,não,sim,não,sim,plataforma secundária,
406,4001593420,ADERENTE_DIRETA,"170,171",RECUPERADA_INTEGRALMENTE,texto,679,5,0,assets/questoes/Q0406.png,não,sim,não,sim,plataforma secundária,
408,4001677917,ADERENTE_DIRETA,"171,172",RECUPERADA_INTEGRALMENTE,imagens_renderizadas,491,0,5,assets/questoes/Q0408.png,não,sim,não,sim,plataforma secundária,
409,4001678401,ADERENTE_DIRETA,172,RECUPERADA_INTEGRALMENTE,texto,518,5,0,assets/questoes/Q0409.png,não,sim,não,sim,plataforma secundária,
412,4001685510,ADERENTE_DIRETA,"173,174",RECUPERADA_INTEGRALMENTE,imagens_renderizadas,475,0,5,assets/questoes/Q0412.png,não,sim,não,sim,plataforma secundária,
415,4001686728,ADERENTE_DIRETA,"175,176",RECUPERADA_INTEGRALMENTE,imagens_renderizadas,742,0,5,assets/questoes/Q0415.png,não,sim,não,sim,plataforma secundária,
423,4001516190,ADERENTE_DIRETA,180,IRRECUPERAVEL_NO_ACERVO,quatro_imagens_sem_alternativa_E,1220,0,4,assets/questoes/Q0423.png,não,não,não,não,plataforma secundária,quinta alternativa não presente nas páginas encartadas | integridade textual incompleta para os critérios desta etapa
426,4001094072,ADERENTE_DIRETA,181,RECUPERADA_INTEGRALMENTE,texto,382,5,0,assets/questoes/Q0426.png,não,sim,não,sim,plataforma secundária,
486,4001592614,ADERENTE_DIRETA,200,RECUPERADA_INTEGRALMENTE,texto,335,5,0,assets/questoes/Q0486.png,não,sim,não,sim,plataforma secundária,
509,4001516189,ADERENTE_DIRETA,"208,209",IRRECUPERAVEL_NO_ACERVO,quatro_imagens_sem_alternativa_E,1393,0,4,assets/questoes/Q0509.png,não,não,não,não,plataforma secundária,quinta alternativa não presente nas páginas encartadas | integridade textual incompleta para os critérios desta etapa
537,4001574572,ADERENTE_DIRETA,"217,218",RECUPERADA_INTEGRALMENTE,texto,543,5,0,assets/questoes/Q0537.png,não,sim,não,sim,plataforma secundária,
539,4002030152,ADERENTE_DIRETA,218,RECUPERADA_INTEGRALMENTE,texto,493,5,0,assets/questoes/Q0539.png,não,sim,não,sim,plataforma secundária,
563,4001785227,ADERENTE_PARCIAL,227,RECUPERADA_INTEGRALMENTE,texto,675,5,0,assets/questoes/Q0563.png,não,sim,não,sim,plataforma secundária,
572,4001572747,ADERENTE_PARCIAL,230,RECUPERADA_INTEGRALMENTE,texto,1135,5,0,assets/questoes/Q0572.png,não,sim,não,sim,plataforma secundária,
596,4001424129,ADERENTE_DIRETA,"238,239",RECUPERADA_INTEGRALMENTE,imagens_renderizadas,606,0,5,assets/questoes/Q0596.png,não,sim,não,sim,plataforma secundária,
611,4002467261,ADERENTE_DIRETA,244,RECUPERADA_INTEGRALMENTE,texto,538,5,0,assets/questoes/Q0611.png,não,sim,não,sim,plataforma secundária,
624,4001693038,ADERENTE_DIRETA,"248,249",RECUPERADA_INTEGRALMENTE,texto,593,5,0,assets/questoes/Q0624.png,não,sim,não,sim,plataforma secundária,
628,4002111758,ADERENTE_DIRETA,250,RECUPERADA_INTEGRALMENTE,imagens_renderizadas,467,0,5,assets/questoes/Q0628.png,não,sim,não,sim,plataforma secundária,
631,4002128645,ADERENTE_DIRETA,"251,252",RECUPERADA_INTEGRALMENTE,imagens_renderizadas,529,0,5,assets/questoes/Q0631.png,não,sim,não,sim,plataforma secundária,
635,4002154826,ADERENTE_DIRETA,253,RECUPERADA_INTEGRALMENTE,texto,641,5,0,assets/questoes/Q0635.png,não,sim,não,sim,plataforma secundária,
639,4002467262,ADERENTE_DIRETA,"254,255",RECUPERADA_INTEGRALMENTE,imagens_renderizadas,371,0,5,assets/questoes/Q0639.png,não,sim,não,sim,plataforma secundária,
643,4001041928,ADERENTE_PARCIAL,256,RECUPERADA_INTEGRALMENTE,texto,485,5,0,assets/questoes/Q0643.png,não,sim,não,sim,plataforma secundária,
645,4001041988,ADERENTE_PARCIAL,"256,257",RECUPERADA_INTEGRALMENTE,texto,668,5,0,assets/questoes/Q0645.png,não,sim,não,sim,plataforma secundária,
649,4001069310,ADERENTE_DIRETA,258,RECUPERADA_INTEGRALMENTE,imagens_renderizadas,467,0,5,assets/questoes/Q0649.png,não,sim,não,sim,plataforma secundária,
660,4001516185,ADERENTE_DIRETA,"261,262",IRRECUPERAVEL_NO_ACERVO,quatro_imagens_sem_alternativa_E,1594,0,4,assets/questoes/Q0660.png,não,não,não,não,plataforma secundária,quinta alternativa não presente nas páginas encartadas | integridade textual incompleta para os critérios desta etapa
669,4001923397,ADERENTE_PARCIAL,264,IRRECUPERAVEL_NO_ACERVO,quatro_imagens_sem_alternativa_E,662,0,4,assets/questoes/Q0669.png,não,não,não,não,plataforma secundária,quinta alternativa não presente nas páginas encartadas | integridade textual incompleta para os critérios desta etapa
690,4001628797,ADERENTE_DIRETA,272,IRRECUPERAVEL_NO_ACERVO,quatro_imagens_sem_alternativa_E,887,0,4,assets/questoes/Q0690.png,não,não,não,não,plataforma secundária,quinta alternativa não presente nas páginas encartadas | integridade textual incompleta para os critérios desta etapa
695,4001923402,ADERENTE_DIRETA,"273,274",IRRECUPERAVEL_NO_ACERVO,quatro_imagens_sem_alternativa_E,704,0,4,assets/questoes/Q0695.png,não,não,não,não,plataforma secundária,quinta alternativa não presente nas páginas encartadas | integridade textual incompleta para os critérios desta etapa
713,4002272802,ADERENTE_DIRETA,280,RECUPERADA_INTEGRALMENTE,texto,301,5,0,assets/questoes/Q0713.png,não,sim,não,sim,plataforma secundária,
716,4002467515,ADERENTE_DIRETA,281,RECUPERADA_INTEGRALMENTE,imagens_renderizadas,638,0,5,assets/questoes/Q0716.png,não,sim,não,sim,plataforma secundária,
717,4001507278,ADERENTE_DIRETA,"281,282",RECUPERADA_INTEGRALMENTE,imagens_renderizadas,450,0,5,assets/questoes/Q0717.png,não,sim,não,sim,plataforma secundária,
718,4002467512,ADERENTE_DIRETA,282,RECUPERADA_INTEGRALMENTE,imagens_renderizadas,584,0,5,assets/questoes/Q0718.png,não,sim,não,sim,plataforma secundária,
719,4002128649,ADERENTE_DIRETA,"282,283",RECUPERADA_INTEGRALMENTE,imagens_renderizadas,522,0,5,assets/questoes/Q0719.png,não,sim,não,sim,plataforma secundária,
727,4001362016,ADERENTE_DIRETA,285,RECUPERADA_INTEGRALMENTE,texto,463,5,0,assets/questoes/Q0727.png,não,sim,não,sim,plataforma secundária,
730,4001849466,ADERENTE_DIRETA,286,RECUPERADA_INTEGRALMENTE,texto,364,5,0,assets/questoes/Q0730.png,não,sim,não,sim,plataforma secundária,
749,4001919820,ADERENTE_DIRETA,"294,295",RECUPERADA_INTEGRALMENTE,imagens_renderizadas,1097,0,5,assets/questoes/Q0749.png,não,sim,não,sim,plataforma secundária,
750,4001919826,ADERENTE_DIRETA,"295,296",RECUPERADA_INTEGRALMENTE,imagens_renderizadas,837,0,5,assets/questoes/Q0750.png,não,sim,não,sim,plataforma secundária,
751,4001919831,ADERENTE_DIRETA,"296,297",RECUPERADA_INTEGRALMENTE,imagens_renderizadas,1074,0,5,assets/questoes/Q0751.png,não,sim,não,sim,plataforma secundária,
752,4001923408,ADERENTE_DIRETA,297,IRRECUPERAVEL_NO_ACERVO,quatro_imagens_sem_alternativa_E,624,0,4,assets/questoes/Q0752.png,não,não,não,não,plataforma secundária,quinta alternativa não presente nas páginas encartadas | integridade textual incompleta para os critérios desta etapa
753,4001923413,ADERENTE_DIRETA,297,IRRECUPERAVEL_NO_ACERVO,quatro_imagens_sem_alternativa_E,620,0,4,assets/questoes/Q0753.png,não,não,não,não,plataforma secundária,quinta alternativa não presente nas páginas encartadas | integridade textual incompleta para os critérios desta etapa
756,4001945303,ADERENTE_DIRETA,299,RECUPERADA_INTEGRALMENTE,texto,488,5,0,assets/questoes/Q0756.png,não,sim,não,sim,plataforma secundária,
762,4002379590,ADERENTE_PARCIAL,302,RECUPERADA_INTEGRALMENTE,texto,768,5,0,assets/questoes/Q0762.png,não,sim,não,sim,plataforma secundária,
784,4002467502,ADERENTE_DIRETA,309,RECUPERADA_INTEGRALMENTE,imagens_renderizadas,380,0,5,assets/questoes/Q0784.png,não,sim,não,sim,plataforma secundária,
797,4002128648,ADERENTE_DIRETA,314,RECUPERADA_INTEGRALMENTE,imagens_renderizadas,359,0,5,assets/questoes/Q0797.png,não,sim,não,sim,plataforma secundária,
